arc-gtk-theme 20190330-1
autoconf 2.69-5
automake 1.16.1-1
bash 5.0.007-1
bc 1.07.1-3
bibata-cursor-theme 0.4.1-1
binutils 2.32-2
bison 3.3.2-1
brasero 3.12.2+62+gbd1a4d5b-1
brave-bin 0.67.124-2
browserpass 3.0.6-1
browserpass-chromium 3.1.1-1
bzip2 1.0.8-2
chromium 76.0.3809.87-1
clang 8.0.1-1
clipit 1.4.3-2
command-not-found 0.6.2-2
compton-tryone-git 0.1_beta2.95.g241bbc5-1
coreutils 8.31-1
cryptsetup 2.1.0-1
dconf-editor 3.32.0-1
device-mapper 2.02.185-1
dhcpcd 7.2.2-1
dialog 1:1.3_20190728-1
diffutils 3.7-1
discord 0.0.9-4
dunst 1.4.1-1
e2fsprogs 1.45.3-1
eog 3.32.2-1
equilux-theme 20181029-2
exfat-utils 1.3.0-1
fakeroot 1.23-1
feh 3.2.1-1
file 5.37-2
file-roller 3.32.1-1
filesystem 2019.05-2
findutils 4.6.0-4
flex 2.6.4-2
fpc 3.0.4-6
gawk 4.2.1-2
gcalcli 4.1.1-1
gcc 9.1.0-2
gcc-libs 9.1.0-2
gcstar 1.7.2-3
gdb 8.3-1
gettext 0.19.8.1-3
gimagereader-gtk 3.3.0-1
gimp 2.10.12-1
git 2.22.0-1
glibc 2.29-4
gnome-calculator 3.32.1-1
gnome-clocks 3.32.0-2
gnome-disk-utility 3.32.1-1
gnome-font-viewer 3.32.0-1
gnome-keyring 1:3.31.91-1
gnome-logs 3.32.1-1
gnome-screenshot 3.32.0-1
gocr 0.52-1
gparted 1.0.0-1
gpg-crypter 0.4.1-3
grep 3.3-1
grub 2:2.04-2
gucharmap 12.0.1-1
gzip 1.10-1
highlight 3.53-1
htop 2.2.0-2
hunspell-pl 20190101-1
i3-gaps 4.17-1
i3lock-color-git r560.a5c65d4-1
inetutils 1.9.4-7
iproute2 5.2.0-1
iputils 20180629.f6aac8d-4
iw 5.3-1
jdk8-openjdk 8.u222-2
jfsutils 1.1.15-6
kcachegrind 19.04.3-1
ldm 0.7-2
less 551-1
lib32-nvidia-utils 430.40-1
libgnome-keyring 3.12.0+11+g3766bcc-1
libreoffice-fresh 6.2.5-1
libtool 2.4.6+42+gb88cebd5-5
libzip 1.5.2-2
licenses 20181104-1
liferea 1.12.6-1
linux 5.2.6.arch1-1
linux-firmware 20190717.bf13a71-1
linux-lts 4.19.65-1
logrotate 3.15.0-1
lvm2 2.02.185-1
lxappearance 0.6.3-2
m4 1.4.18-2
make 4.2.1-3
man-db 2.8.5-2
man-pages 5.01-1
mariadb 10.4.7-1
mariadb-libs 10.4.7-1
mdadm 4.1-1
